,iteration,train error,test error
0,1.0,0.0596,0.1978
1,2.0,0.063,0.2548
2,3.0,0.0296,0.1676
3,4.0,0.0202,0.1936
4,5.0,0.0218,0.1606
5,6.0,0.0138,0.1688
6,7.0,0.017,0.152
7,8.0,0.0112,0.1622
8,9.0,0.017,0.1484
9,10.0,0.0094,0.1566
10,11.0,0.015,0.1458
11,12.0,0.0084,0.1572
12,13.0,0.0108,0.1472
13,14.0,0.0086,0.1548
14,15.0,0.0104,0.1458
15,16.0,0.0074,0.1526
16,17.0,0.0098,0.144
17,18.0,0.0084,0.1522
18,19.0,0.01,0.1446
19,20.0,0.007,0.1514
20,21.0,0.009,0.145
21,22.0,0.0074,0.1478
22,23.0,0.0092,0.1424
23,24.0,0.0074,0.1484
24,25.0,0.0086,0.1456
25,26.0,0.007,0.1482
26,27.0,0.008,0.1436
27,28.0,0.0062,0.1482
28,29.0,0.0076,0.1442
29,30.0,0.006,0.1472
30,31.0,0.0076,0.1442
31,32.0,0.0066,0.147
32,33.0,0.007,0.144
33,34.0,0.006,0.146
34,35.0,0.0076,0.1438
35,36.0,0.0056,0.1446
36,37.0,0.006,0.1434
37,38.0,0.0054,0.1444
38,39.0,0.0058,0.1422
39,40.0,0.0056,0.144
40,41.0,0.0058,0.1428
41,42.0,0.0054,0.144
42,43.0,0.006,0.1412
43,44.0,0.0052,0.1442
44,45.0,0.006,0.1426
45,46.0,0.0048,0.1436
46,47.0,0.0064,0.1432
47,48.0,0.0056,0.1444
48,49.0,0.006,0.142
49,50.0,0.0056,0.144
50,51.0,0.006,0.143
51,52.0,0.0054,0.1432
52,53.0,0.006,0.1414
53,54.0,0.0056,0.1434
54,55.0,0.006,0.1424
55,56.0,0.0052,0.1446
56,57.0,0.0054,0.1424
57,58.0,0.0048,0.1438
58,59.0,0.0052,0.1422
59,60.0,0.0044,0.1432
60,61.0,0.0052,0.142
61,62.0,0.0046,0.143
62,63.0,0.0052,0.1418
63,64.0,0.0044,0.1442
64,65.0,0.005,0.1412
65,66.0,0.0046,0.1434
66,67.0,0.005,0.1418
67,68.0,0.0046,0.1434
68,69.0,0.005,0.1406
69,70.0,0.0046,0.1422
70,71.0,0.0048,0.1408
71,72.0,0.0044,0.142
72,73.0,0.0046,0.1406
73,74.0,0.0044,0.1416
